Estimate,Error,p_exc,OBJECTID
919.8621425,188.3929539,0.647175421,192
2411.893765,213.7273522,1,446
855.8666384,105.3006232,0.544103072,542
387.1950402,58.5318906,0,202
232.0075126,35.52200312,0,82
503.1917141,38.08619258,0,153
206.9001168,24.05068518,0,168
1035.024719,206.3075082,0.837462834,61
318.9156891,33.66849516,0,230
1553.237365,186.7902814,1,428
655.4187198,40.30979571,0,237
896.8812541,144.6242935,0.629335976,52
531.4891367,40.27337186,0,197
909.9413839,140.6494549,0.666997027,66
739.5256122,158.1163192,0.228939544,284
110.646899,7.879839651,0,402
182.0862204,25.61350795,0,136
1122.843807,257.31717,0.883052527,161
167.0707324,31.19004063,0,123
519.6742236,41.24132916,0,188
903.8019297,161.2714081,0.640237859,272
1205.435246,270.2868888,0.937561943,413
535.1518063,69.05118301,0,249
965.283531,170.7358208,0.78592666,327
303.9528925,37.46457315,0,55
520.4368644,119.6535149,0.017839445,270
892.4760821,159.4700602,0.60654113,293
870.2847845,155.1020804,0.565906838,520
594.5764555,84.96626511,0.005946482,311
1286.41021,204.7484604,0.998017839,374
1702.603687,193.6285971,1,301
847.3214481,137.3714954,0.486620416,46
2024.152345,220.4366195,1,438
830.5002552,174.6232224,0.421209118,266
374.3943345,41.2936385,0,273
68.10552318,15.53302501,0,219
417.5605435,88.76079397,0.00099108,151
757.6414276,96.54096154,0.190287413,377
1383.99581,192.1626948,0.99900892,502
1090.111595,263.5497827,0.850346878,162
856.4792019,168.7641765,0.49950446,315
907.0462738,103.7003125,0.745292369,504
950.3062411,148.251636,0.768087215,359
1313.037611,162.1723478,1,385
1063.405136,113.4905049,0.991080278,436
1075.06086,223.0275141,0.880079286,69
386.7117952,74.38703888,0,26
654.5483112,83.9783909,0.023785927,393
875.254822,152.1027266,0.563924678,232
438.5724731,63.53500182,0,309
493.926107,77.73950304,0,262
954.0287855,147.7913156,0.791873142,62
1007.352596,219.7087638,0.767096135,130
1083.643144,212.9707465,0.898909812,90
751.5169473,112.2831419,0.203171457,534
438.9215661,23.50513685,0,317
1640.72533,415.8996752,0.996035679,454
926.9531719,187.3223383,0.658077304,110
82.9257451,16.00372683,0,264
92.35890714,4.166722807,0,100
429.1057454,72.83370456,0.00099108,229
362.916303,40.48707938,0,72
1803.470525,265.1190342,1,484
1490.064874,231.1461339,1,382
456.3936828,71.79933697,0,22
905.4315797,120.0856877,0.701684836,397
351.2074075,47.65667381,0,286
451.9925611,66.52918675,0.001982161,80
965.5506799,171.4633228,0.755203171,213
1218.905249,277.1702131,0.946481665,159
366.3533736,55.62589348,0,36
582.328796,55.13616735,0,221
754.2699303,112.3631983,0.21407334,560
924.7720593,120.6798079,0.763131814,354
790.2815585,110.7524499,0.299306244,6
1097.237852,258.2573046,0.85629336,289
2058.399355,325.4814042,1,421
592.6822108,100.0054467,0.023785927,283
1176.942898,127.6242863,1,435
271.0880288,31.25283251,0,252
304.4830387,44.29027403,0,177
563.9231032,124.0145569,0.023785927,234
